EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME

    1,135381,VAEXJOE                                 ,SE,+56:52:00,+014:48:00, 166, TG6,18601109,20061130,   56,Marcus Flarup                                     
    1,135405,VAXJO-KRONOBERG                         ,SE,+56:55:48,+014:43:48, 182, TG6,19850501,19950731,   56,Marcus Flarup                                     
    2,136437,FALUN                                   ,SE,+60:37:00,+015:37:00, 160, TG6,18600125,20221030,   56,Marcus Flarup                                     
    3,137076,STENSELE                                ,SE,+65:04:00,+017:09:59, 325, TG6,18600506,20041217,   56,Marcus Flarup                                     
    4,135825,LINKOEPING-MALMSLAETT                   ,SE,+58:24:00,+015:31:59,  93, TG6,19440101,20221031,   56,Marcus Flarup                                     
    4,135828,LINKOEPING                              ,SE,+58:24:00,+015:31:59,  93, TG6,18590105,19770831,   56,Marcus Flarup                                     
    5,135825,LINKOEPING-MALMSLAETT                   ,SE,+58:24:00,+015:31:59,  93, TG6,19440101,20221031,   56,Marcus Flarup                                     
    5,135828,LINKOEPING                              ,SE,+58:24:00,+015:31:59,  93, TG6,18590105,19770831,   56,Marcus Flarup                                     
    6,136143,KARLSTAD_AUT                            ,SE,+59:21:36,+013:28:12,  46, TG6,19870213,19940728,   56,Marcus Flarup                                     
